2614.67	2614.51	0.242218	1.16367	0.0803972
2103.09	2103.51	0.697659	0.835054	0.231245
1589.44	1593.51	0.832542	1.02504	0.304011
1461.3	1460.82	0.0525997	0.799174	0.0180217
911.989	911.204	0.249725	0.742201	0.0904541
1119.89	1120.29	0.4712	0.59158	0.330267
1173.76	1173.23	0.0596348	0.674338	0.0228392
1332.92	1332.49	0.0623539	0.723484	0.0233036
1234.9	1238.12	2.18128	1.8	0.138363
1765.14	1764.49	0.344375	0.890937	0.146847
2203.48	2204.06	0.46852	0.459912	0.164577
583.661	583.191	0.138882	0.384676	0.0493682
511.33	511	0.306596	0.651117	0.106095
1729.49	1729.6	0.992001	0.571554	0.245229
349.734	338.3	19.0342	0.350019	1.57498
1589.31	1588.1	0.870707	0.908336	0.268354
724.639	727.3	0.504859	0.77712	0.173826
835.296	834.848	0.247505	0.470997	0.0832384
2446.38	2447.86	1.17578	0.829815	0.588157
